Time,Event,Location
12:30pm,Hilby The Skinny German Juggle Boy,West State Street
4:45pm,Hilby The Skinny German Juggle Boy,West State Street
6pm,Finger Lakes Comedy Festival Competition 1st Round,Lot 10
8pm,Stand-up Comedy Show,Acting Out NY
10pm,All-Star Comedy Show,Acting Out NY
